Response ID,Response started,Response completed,RD1 - Please select the role most applicable to you:,RD2 - How many years of previous programming experience do you have?,RD3 - Do you have any prior experience with Programmable Logic Controllers?,RD4 - Which programming languages do you use to write code for Programmable Logic Controllers?,"W1 - Suppose the following automation task containing two switches and one motor, where to turn the motor ON, both switches must be ON. The possible states for the elements of this task can be described by the table and illustration below:     Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R1 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W2 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light bulb ON, at least one button must be OFF. The possible states for the elements of this task can be described by the table and illustration below:   Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R2 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W3 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light ON both buttons must be OFF. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R3 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W4 - Suppose the following automation task containing two buttons and one light bulb, where for the light to be ON, the two buttons must keep in the same state. The possible states for the elements of this task can be described by the table and illustration below:  Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R4 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W5 - Suppose the following automation task containing two switches and one sprinkler, where to turn the sprinkler ON, the two switches must be in opposite states. In other words, while one switch is ON, the other must be OFF to activate the sprinkler. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R5 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","Q1 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would like to use Ladder Logic frequently.]","Q2 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic unnecessarily complex.]","Q3 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought that Ladder Logic was easy to use.]","Q4 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would need assistance to be able to use Ladder Logic.]","Q5 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found the various functions in Ladder Logic were well integrated.]","Q6 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought there was too much inconsistency in Ladder Logic.]","Q7 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I would imagine that most people would learn to use Ladder Logic very quickly.]","Q8 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic very cumbersome/awkward to use.]","Q9 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I felt very confident using Ladder Logic.]","Q10 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I needed to learn a lot of things before I could get going with Ladder Logic.]",OQ - What is your opinion about Ladder Logic? Feel free to provide any thoughts about this language or click on the 'Submit' button to submit your answer.
uuzMG2zR,"Jun 18, 2020 01:57:15 PM","Jun 18, 2020 02:03:49 PM",Engineer,3-5 Years,5+ Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,3,3,2,3,3,2,3,3,3,
UPCsGcRV,"Jun 18, 2020 02:09:39 PM","Jun 18, 2020 02:20:34 PM",Other,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,5,1,5,1,4,1,The best way to program logic sequences.. Easier to debug than SC logic
64B3vllq,"Jun 18, 2020 03:12:08 PM","Jun 18, 2020 03:28:27 PM",Engineer,3-5 Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have the same state (ON and ON or OFF and OFF),"4 - Correct structure, wrong labels and symbols","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,5,1,3,1,4,2,I feel like Ladder Logic is a very useful tool and could help understand other aspects of programming
9JCC76Vq,"Jun 18, 2020 03:32:26 PM","Jun 18, 2020 03:52:19 PM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,2,2,3,2,3,3,3,1,I think that is not useful to program complex / large control systems
KHCNYOhD,"Jun 18, 2020 03:35:28 PM","Jun 18, 2020 03:42:02 PM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Sequential function chart (SFC)","7 - Wrong structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"2 - Correct structure and symbols, wrong labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,3,3,1,3,1,2,2,3,1,
KszgLO2r,"Jun 18, 2020 04:08:00 PM","Jun 18, 2020 04:21:02 PM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,5,4,5,5,3,5,1,5,1,"Easy to use the ladder logic whether you had learned C,C++."
13zDuICn,"Jun 18, 2020 05:01:26 PM","Jun 18, 2020 05:20:09 PM",Other,1-2 Years,1-2 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Instruction list (IL)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels","Light will never be turned ON, regardless the state of the input elements (Button A and Button B).","1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,2,4,2,4,2,4,2,4,3,Mostly Japanese PLC uses programmable logic ladder. PLC in Europe and US uses programming language like structural text or C programming. The basic fundamental still goes back to machine language as most chips need to be programmed before we get our computer/PLC/microprocessor to work.
YyB3nom5,"Jun 18, 2020 06:43:10 PM","Jun 18, 2020 06:54:21 PM",Engineer,1-2 Years,1-2 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"5 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,3,5,3,5,3,5,3,5,3,"I am familiar with ladder diagram, I loved to use it."
WVBokAuQ,"Jun 18, 2020 07:49:07 PM","Jun 18, 2020 08:18:44 PM",Engineer,No programming experience,< 1 Year,"Ladder diagram (LD),Other","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,3,2,5,1,5,2,Ladder logic is one of the easy program to learn and teach.
i8CNjhUa,"Jun 18, 2020 08:09:12 PM","Jun 18, 2020 08:33:22 PM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,4,5,2,4,2,4,1,5,2,Very simple to use for discrete Automations functions and simple machine operation . Easy to learn and troubleshooting. Good Language for fresh engineers to learn and understand the relay and coil concept . For Process automation with complex loops and sequence it's difficult to implement in ladder . I love Ladder logic
ybbZoHcJ,"Jun 18, 2020 08:38:38 PM","Jun 18, 2020 09:06:00 PM",Other,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,4,4,3,3,3,2,3,4,3,
TUB34mON,"Jun 18, 2020 09:12:16 PM","Jun 18, 2020 09:31:43 PM",Engineer,5+ Years,1-2 Years,"Function block diagram (FBD),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","3 - Correct structure and labels, wrong symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,2,5,1,5,1,5,1,"Easy to use, good overview, easy to follow flow of programming and troubleshooting"
NpB3uCyq,"Jun 18, 2020 09:19:27 PM","Jun 18, 2020 09:33:04 PM",Engineer,1-2 Years,1-2 Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels","Light will never be turned ON, regardless the state of the input elements (Button A and Button B).","1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,2,5,1,4,2,5,1,5,1,
kTCs4oT6,"Jun 18, 2020 09:45:07 PM","Jun 18, 2020 10:09:08 PM",Engineer,5+ Years,,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"8 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is ON.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have the same state (ON and ON or OFF and OFF),"5 - Wrong structure, symbols and labels","Alarm will never be turned ON, regardless the state of the input elements (Smoke Detector, Carbon Monoxide Detector or Test Button).","7 - Wrong structure, symbols and labels","Boiler will be turned ON when at least one of the input elements is ON: Start Button, Stop Button or Heat Sensor.",3,3,3,3,3,3,3,3,3,3,
obCNVRxT,"Jun 18, 2020 09:47:54 PM","Jun 18, 2020 09:59:24 PM",Engineer,3-5 Years,No experience,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels","Light will never be turned ON, regardless the state of the input elements (Button A and Button B).","1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,1,4,1,3,1,5,1,4,2,
zTB3NbtL,"Jun 18, 2020 10:49:39 PM","Jun 18, 2020 10:57:26 PM",Technician,1-2 Years,3-5 Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"5 - Wrong structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,4,2,3,1,4,1,4,1,
7qz8kyxz,"Jun 18, 2020 10:53:58 PM","Jun 18, 2020 11:09:41 PM",Engineer,No programming experience,No experience,,"5 - Wrong structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"5 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,1,5,1,5,1,5,1,5,1,It is easy to compare with electrical circuits
FJCCVkpb,"Jun 18, 2020 10:57:12 PM","Jun 18, 2020 11:14:05 PM",Engineer,3-5 Years,1-2 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Instruction list (IL),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,3,1,4,1,5,1,5,1,
RoCssQQo,"Jun 18, 2020 11:03:26 PM","Jun 18, 2020 11:29:40 PM",Engineer,5+ Years,5+ Years,"Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,2,4,1,3,1,2,4,3,1,"Ladder charts can be used for small simple applications, by electricians / technicians who are used to looking at electrical charts. For larger complex automation solutions I would recommend structured text."
MLzTrsHh,"Jun 18, 2020 11:04:05 PM","Jun 18, 2020 11:37:32 PM",Engineer,No programming experience,No experience,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,4,5,3,4,3,5,2,5,3,
vqCNwRdy,"Jun 18, 2020 11:06:59 PM","Jun 19, 2020 05:48:02 AM",Engineer,< 1 Year,1-2 Years,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,1,5,1,5,1,4,1,5,2,
YwCChzJ3,"Jun 18, 2020 11:16:22 PM","Jun 19, 2020 03:16:34 AM",Other,5+ Years,< 1 Year,"Ladder diagram (LD),Function block diagram (FBD)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"5 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,4,2,4,2,3,2,3,2,
zKbgZgN9,"Jun 18, 2020 11:20:56 PM","Jun 18, 2020 11:37:41 PM",Engineer,5+ Years,3-5 Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","3 - Correct structure and labels, wrong symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,4,3,3,3,3,2,4,3,3,A programmer will need to have knowledge about electric circuit to be able to digist this progamming language
UqCNpHSh,"Jun 18, 2020 11:24:37 PM","Jun 18, 2020 11:34:43 PM",Other,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,1,4,1,4,1,,1,4,2,"Good for simple tasks, but for more complex routines, only ST is the logical choice."
PbCsWwoC,"Jun 18, 2020 11:26:44 PM","Jun 18, 2020 11:35:19 PM",Engineer,< 1 Year,No experience,,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"4 - Correct structure, wrong labels and symbols","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, and the Test Button is OFF.","1 - Correct structure, symbols and labels","Boiler will be turned ON when at least one of the input elements is ON: Start Button, Stop Button or Heat Sensor.",1,1,5,,3,1,3,1,4,1,
ZfBUWLRq,"Jun 18, 2020 11:49:56 PM","Jun 19, 2020 12:03:16 AM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,3,3,1,3,1,2,2,3,1,"Ladder is OK for very simple logic. FBD is simpler for beginners because AND/OR relationship is clear.
Thanks for the opportinity on this survay."
azCsO2x9,"Jun 18, 2020 11:59:11 PM","Jun 19, 2020 12:11:59 AM",Engineer,< 1 Year,< 1 Year,,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,5,1,4,1,5,1,5,1,
MBCNjYvl,"Jun 19, 2020 12:08:35 AM","Jun 19, 2020 12:28:09 AM",Other,5+ Years,No experience,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,5,1,3,1,4,1,5,2,4,"ST or FB are more efficient. Ladder Logic is very old fashion, outdated, looks horrible and is hard to read."
RUChp7Ip,"Jun 19, 2020 12:09:03 AM","Jun 19, 2020 12:39:53 AM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,2,1,4,3,4,4,4,2,"As I have been using FBD and ST most of my career I obviously feel more comfortable with that. Ladder logic don't necessarily meet the complexity needed for HV systems with components using advanced communications protocols, protection relays, controllers etc."
JKCNRWbm,"Jun 19, 2020 12:37:46 AM","Jun 19, 2020 01:40:38 AM",Engineer,5+ Years,5+ Years,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,5,2,3,2,2,3,3,2,
BICsbcPt,"Jun 19, 2020 12:43:43 AM","Jun 19, 2020 12:54:36 AM",Engineer,1-2 Years,1-2 Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,1,4,1,4,1,4,2,4,1,"never used before, but I will give it a try in the future"
